,location,predicted_price,quarter,year,Locality,Risk
1655,BTM Layout,8061.86,Oct-Dec,2024,BTM Layout,Moderate
1656,BTM Layout,8984.826,Jan-Mar,2025,BTM Layout,Moderate
1657,BTM Layout,9662.666,Apr-Jun,2025,BTM Layout,Moderate
1658,BTM Layout,7925.116357,Jul-Sep,2025,BTM Layout,Moderate
1659,BTM Layout,5494.756667,Oct-Dec,2025,BTM Layout,Moderate
1660,BTM Layout,5600.35,Jan-Mar,2026,BTM Layout,Moderate
1661,BTM Layout,5626.87,Apr-Jun,2026,BTM Layout,Moderate
1662,BTM Layout,5683.42,Jul-Sep,2026,BTM Layout,Moderate
1663,BTM Layout,5675.2,Oct-Dec,2026,BTM Layout,Moderate
1664,BTM Layout,5539.33,Jan-Mar,2027,BTM Layout,Moderate
1665,BTM Layout,5569.13,Apr-Jun,2027,BTM Layout,Moderate
1666,BTM Layout,5614.32,Jul-Sep,2027,BTM Layout,Moderate
1667,BTM Layout,5520.81,Oct-Dec,2027,BTM Layout,Moderate
1668,BTM Layout,5602.37,Jan-Mar,2028,BTM Layout,Moderate
1669,BTM Layout,5629.85,Apr-Jun,2028,BTM Layout,Moderate
1670,BTM Layout,5744.3,Jul-Sep,2028,BTM Layout,Moderate
1671,BTM Layout,5820.33,Oct-Dec,2028,BTM Layout,Moderate
1672,BTM Layout,5824.11,Jan-Mar,2029,BTM Layout,Moderate
1673,BTM Layout,5899.51,Apr-Jun,2029,BTM Layout,Moderate
1674,BTM Layout,6004.1,Jul-Sep,2029,BTM Layout,Moderate
1675,BTM Layout,5982.89,Oct-Dec,2029,BTM Layout,Moderate
1676,BTM Layout,9173.17,Jan-Mar,2030,BTM Layout,Moderate
1677,BTM Layout,9733.01,Apr-Jun,2030,BTM Layout,Moderate
1678,BTM Layout,7898.783333,Jul-Sep,2030,BTM Layout,Moderate
1679,BTM Layout,8061.86,Oct-Dec,2030,BTM Layout,Moderate
1680,Tumkur Road,9859.36,Jan-Mar,2024,Tumkur Road,Moderate
1681,Tumkur Road,10152.91,Apr-Jun,2024,Tumkur Road,Moderate
1682,Tumkur Road,10033.63417,Jul-Sep,2024,Tumkur Road,Moderate
1683,Tumkur Road,9500.74,Oct-Dec,2024,Tumkur Road,Moderate
1684,Tumkur Road,10034.44667,Jan-Mar,2025,Tumkur Road,Moderate
1685,Tumkur Road,9948.236667,Apr-Jun,2025,Tumkur Road,Moderate
1686,Tumkur Road,8389.898333,Jul-Sep,2025,Tumkur Road,Moderate
1687,Tumkur Road,7236.483333,Oct-Dec,2025,Tumkur Road,Moderate
1688,Tumkur Road,5446.24,Jan-Mar,2026,Tumkur Road,Moderate
1689,Tumkur Road,5594.81,Apr-Jun,2026,Tumkur Road,Moderate
1690,Tumkur Road,5507.63,Jul-Sep,2026,Tumkur Road,Moderate
1691,Tumkur Road,5495.63,Oct-Dec,2026,Tumkur Road,Moderate
1692,Tumkur Road,5467.02,Jan-Mar,2027,Tumkur Road,Moderate
1693,Tumkur Road,5508.06,Apr-Jun,2027,Tumkur Road,Moderate
1694,Tumkur Road,5518.09,Jul-Sep,2027,Tumkur Road,Moderate
1695,Tumkur Road,5530.5,Oct-Dec,2027,Tumkur Road,Moderate
1696,Tumkur Road,6077.09,Jan-Mar,2028,Tumkur Road,Moderate
1697,Tumkur Road,6189.14,Apr-Jun,2028,Tumkur Road,Moderate
1698,Tumkur Road,6208.63,Jul-Sep,2028,Tumkur Road,Moderate
1699,Tumkur Road,6415.12,Oct-Dec,2028,Tumkur Road,Moderate
1700,Tumkur Road,6457.59,Jan-Mar,2029,Tumkur Road,Moderate
1701,Tumkur Road,6923.29,Apr-Jun,2029,Tumkur Road,Moderate
1702,Tumkur Road,7155.82,Jul-Sep,2029,Tumkur Road,Moderate
1703,Tumkur Road,8192.11,Oct-Dec,2029,Tumkur Road,Moderate
1704,Tumkur Road,9859.36,Jan-Mar,2030,Tumkur Road,Moderate
1705,Tumkur Road,10152.91,Apr-Jun,2030,Tumkur Road,Moderate
1706,Tumkur Road,10033.63417,Jul-Sep,2030,Tumkur Road,Moderate
1707,Tumkur Road,9500.74,Oct-Dec,2030,Tumkur Road,Moderate
1708,Phase 8th JP Nagar,5896.66,Jan-Mar,2024,Phase 8th JP Nagar,Moderate
1709,Phase 8th JP Nagar,6226.9,Apr-Jun,2024,Phase 8th JP Nagar,Moderate
1710,Phase 8th JP Nagar,6317.005,Jul-Sep,2024,Phase 8th JP Nagar,Moderate
1711,Phase 8th JP Nagar,7089.455,Oct-Dec,2024,Phase 8th JP Nagar,Moderate
1712,Phase 8th JP Nagar,7092.01,Jan-Mar,2025,Phase 8th JP Nagar,Moderate
1713,Phase 8th JP Nagar,7340.72,Apr-Jun,2025,Phase 8th JP Nagar,Moderate
1714,Phase 8th JP Nagar,5828.875,Jul-Sep,2025,Phase 8th JP Nagar,Moderate
1715,Phase 8th JP Nagar,5403.245,Oct-Dec,2025,Phase 8th JP Nagar,Moderate
1716,Phase 8th JP Nagar,5067.05,Jan-Mar,2026,Phase 8th JP Nagar,Moderate
1717,Phase 8th JP Nagar,5053.3,Apr-Jun,2026,Phase 8th JP Nagar,Moderate
1718,Phase 8th JP Nagar,5276.89,Jul-Sep,2026,Phase 8th JP Nagar,Moderate
1719,Phase 8th JP Nagar,5227.09,Oct-Dec,2026,Phase 8th JP Nagar,Moderate
1720,Phase 8th JP Nagar,5278.96,Jan-Mar,2027,Phase 8th JP Nagar,Moderate
1721,Phase 8th JP Nagar,5305.06,Apr-Jun,2027,Phase 8th JP Nagar,Moderate
1722,Phase 8th JP Nagar,5392.29,Jul-Sep,2027,Phase 8th JP Nagar,Moderate
1723,Phase 8th JP Nagar,5349.5,Oct-Dec,2027,Phase 8th JP Nagar,Moderate
1724,Phase 8th JP Nagar,5323.02,Jan-Mar,2028,Phase 8th JP Nagar,Moderate
1725,Phase 8th JP Nagar,5355.15,Apr-Jun,2028,Phase 8th JP Nagar,Moderate
1726,Phase 8th JP Nagar,5151.49,Jul-Sep,2028,Phase 8th JP Nagar,Moderate
1727,Phase 8th JP Nagar,5219.13,Oct-Dec,2028,Phase 8th JP Nagar,Moderate
1728,Phase 8th JP Nagar,5454.78,Jan-Mar,2029,Phase 8th JP Nagar,Moderate
1729,Phase 8th JP Nagar,5654.28,Apr-Jun,2029,Phase 8th JP Nagar,Moderate
1730,Phase 8th JP Nagar,6133.93,Jul-Sep,2029,Phase 8th JP Nagar,Moderate
1731,Phase 8th JP Nagar,5968.99,Oct-Dec,2029,Phase 8th JP Nagar,Moderate
1732,Phase 8th JP Nagar,5896.66,Jan-Mar,2030,Phase 8th JP Nagar,Moderate
1733,Phase 8th JP Nagar,6226.9,Apr-Jun,2030,Phase 8th JP Nagar,Moderate
1734,Phase 8th JP Nagar,6317.005,Jul-Sep,2030,Phase 8th JP Nagar,Moderate
1735,Phase 8th JP Nagar,7089.455,Oct-Dec,2030,Phase 8th JP Nagar,Moderate
1736,Kadubeesanahalli Road,10455.1,Jan-Mar,2024,Kadubeesanahalli Road,Moderate
1737,Kadubeesanahalli Road,10870.84,Apr-Jun,2024,Kadubeesanahalli Road,Moderate
1738,Kadubeesanahalli Road,10333.42167,Jul-Sep,2024,Kadubeesanahalli Road,Moderate
1739,Kadubeesanahalli Road,10505.91,Oct-Dec,2024,Kadubeesanahalli Road,Moderate
1740,Kadubeesanahalli Road,11621.39,Jan-Mar,2025,Kadubeesanahalli Road,Moderate
1741,Kadubeesanahalli Road,12020.59,Apr-Jun,2025,Kadubeesanahalli Road,Moderate
1742,Kadubeesanahalli Road,10291.79298,Jul-Sep,2025,Kadubeesanahalli Road,Moderate
1743,Kadubeesanahalli Road,7299.38,Oct-Dec,2025,Kadubeesanahalli Road,Moderate
1744,Kadubeesanahalli Road,8378.55,Jan-Mar,2026,Kadubeesanahalli Road,Moderate
1745,Kadubeesanahalli Road,8379.3,Apr-Jun,2026,Kadubeesanahalli Road,Moderate
1746,Kadubeesanahalli Road,8440.05,Jul-Sep,2026,Kadubeesanahalli Road,Moderate
1747,Kadubeesanahalli Road,8621.5,Oct-Dec,2026,Kadubeesanahalli Road,Moderate
1748,Kadubeesanahalli Road,8845.85,Jan-Mar,2027,Kadubeesanahalli Road,Moderate
1749,Kadubeesanahalli Road,8884.1,Apr-Jun,2027,Kadubeesanahalli Road,Moderate
1750,Kadubeesanahalli Road,8992.25,Jul-Sep,2027,Kadubeesanahalli Road,Moderate
1751,Kadubeesanahalli Road,9086.65,Oct-Dec,2027,Kadubeesanahalli Road,Moderate
1752,Kadubeesanahalli Road,9314.05,Jan-Mar,2028,Kadubeesanahalli Road,Moderate
1753,Kadubeesanahalli Road,9410.96,Apr-Jun,2028,Kadubeesanahalli Road,Moderate
1754,Kadubeesanahalli Road,9728.5,Jul-Sep,2028,Kadubeesanahalli Road,Moderate
1755,Kadubeesanahalli Road,9664.2,Oct-Dec,2028,Kadubeesanahalli Road,Moderate
1756,Kadubeesanahalli Road,9776.27,Jan-Mar,2029,Kadubeesanahalli Road,Moderate
1757,Kadubeesanahalli Road,9516.28,Apr-Jun,2029,Kadubeesanahalli Road,Moderate
1758,Kadubeesanahalli Road,10304.49,Jul-Sep,2029,Kadubeesanahalli Road,Moderate
1759,Kadubeesanahalli Road,10474.3,Oct-Dec,2029,Kadubeesanahalli Road,Moderate
1760,Kadubeesanahalli Road,10455.1,Jan-Mar,2030,Kadubeesanahalli Road,Moderate
1761,Kadubeesanahalli Road,10870.84,Apr-Jun,2030,Kadubeesanahalli Road,Moderate
1762,Kadubeesanahalli Road,10333.42167,Jul-Sep,2030,Kadubeesanahalli Road,Moderate
1763,Kadubeesanahalli Road,10505.91,Oct-Dec,2030,Kadubeesanahalli Road,Moderate
1764,Brookefield,9157.33,Jan-Mar,2024,Brookefield,Moderate
1765,Brookefield,9135.7,Apr-Jun,2024,Brookefield,Moderate
1766,Brookefield,9301.47,Jul-Sep,2024,Brookefield,Moderate
1767,Brookefield,8586.7,Oct-Dec,2024,Brookefield,Moderate
1768,Brookefield,10969.23,Jan-Mar,2025,Brookefield,Moderate
1769,Brookefield,10698.36,Apr-Jun,2025,Brookefield,Moderate
1770,Brookefield,7360.8015,Jul-Sep,2025,Brookefield,Moderate
1771,Brookefield,6113.95,Oct-Dec,2025,Brookefield,Moderate
1772,Brookefield,5930.62,Jan-Mar,2026,Brookefield,Moderate
1773,Brookefield,6041.18,Apr-Jun,2026,Brookefield,Moderate
1774,Brookefield,6187.05,Jul-Sep,2026,Brookefield,Moderate
1775,Brookefield,6124.95,Oct-Dec,2026,Brookefield,Moderate
1776,Brookefield,6011.07,Jan-Mar,2027,Brookefield,Moderate
1777,Brookefield,6172.73,Apr-Jun,2027,Brookefield,Moderate
1778,Brookefield,6079.85,Jul-Sep,2027,Brookefield,Moderate
1779,Brookefield,6030.71,Oct-Dec,2027,Brookefield,Moderate
1780,Brookefield,5850.75,Jan-Mar,2028,Brookefield,Moderate
1781,Brookefield,6064.86,Apr-Jun,2028,Brookefield,Moderate
1782,Brookefield,6087.02,Jul-Sep,2028,Brookefield,Moderate
1783,Brookefield,6031.32,Oct-Dec,2028,Brookefield,Moderate
1784,Brookefield,6103.37,Jan-Mar,2029,Brookefield,Moderate
1785,Brookefield,6103.01,Apr-Jun,2029,Brookefield,Moderate
1786,Brookefield,6002.79,Jul-Sep,2029,Brookefield,Moderate
1787,Brookefield,6135.14,Oct-Dec,2029,Brookefield,Moderate
1788,Brookefield,9157.33,Jan-Mar,2030,Brookefield,Moderate
1789,Brookefield,9135.7,Apr-Jun,2030,Brookefield,Moderate
1790,Brookefield,9301.47,Jul-Sep,2030,Brookefield,Moderate
1791,Brookefield,8586.7,Oct-Dec,2030,Brookefield,Moderate
1792,Borewell Road,9134.8,Jan-Mar,2024,Borewell Road,Moderate
1793,Borewell Road,9186.64,Apr-Jun,2024,Borewell Road,Moderate
1794,Borewell Road,9676.42,Jul-Sep,2024,Borewell Road,Moderate
1795,Borewell Road,8502.83,Oct-Dec,2024,Borewell Road,Moderate
1796,Borewell Road,10859.58,Jan-Mar,2025,Borewell Road,Moderate
1797,Borewell Road,10709.8,Apr-Jun,2025,Borewell Road,Moderate
1798,Borewell Road,9506.429,Jul-Sep,2025,Borewell Road,Moderate
1799,Borewell Road,6611.61,Oct-Dec,2025,Borewell Road,Moderate
1800,Borewell Road,5930.62,Jan-Mar,2026,Borewell Road,Moderate
1801,Borewell Road,6041.18,Apr-Jun,2026,Borewell Road,Moderate
1802,Borewell Road,6187.05,Jul-Sep,2026,Borewell Road,Moderate
1803,Borewell Road,6124.95,Oct-Dec,2026,Borewell Road,Moderate
1804,Borewell Road,6011.07,Jan-Mar,2027,Borewell Road,Moderate
1805,Borewell Road,6172.73,Apr-Jun,2027,Borewell Road,Moderate
1806,Borewell Road,6079.85,Jul-Sep,2027,Borewell Road,Moderate
1807,Borewell Road,6030.71,Oct-Dec,2027,Borewell Road,Moderate
1808,Borewell Road,5850.75,Jan-Mar,2028,Borewell Road,Moderate
1809,Borewell Road,6064.86,Apr-Jun,2028,Borewell Road,Moderate
1810,Borewell Road,6087.02,Jul-Sep,2028,Borewell Road,Moderate
1811,Borewell Road,6031.32,Oct-Dec,2028,Borewell Road,Moderate
1812,Borewell Road,6103.37,Jan-Mar,2029,Borewell Road,Moderate
1813,Borewell Road,6103.01,Apr-Jun,2029,Borewell Road,Moderate
1814,Borewell Road,6002.79,Jul-Sep,2029,Borewell Road,Moderate
1815,Borewell Road,6099.83,Oct-Dec,2029,Borewell Road,Moderate
1816,Borewell Road,9134.8,Jan-Mar,2030,Borewell Road,Moderate
1817,Borewell Road,9186.64,Apr-Jun,2030,Borewell Road,Moderate
1818,Borewell Road,9676.42,Jul-Sep,2030,Borewell Road,Moderate
1819,Borewell Road,8502.83,Oct-Dec,2030,Borewell Road,Moderate
1820,Phase 7 JP Nagar,7713.57,Jan-Mar,2024,Phase 7 JP Nagar,Moderate
1821,Phase 7 JP Nagar,8280.04,Apr-Jun,2024,Phase 7 JP Nagar,Moderate
1822,Phase 7 JP Nagar,7883.76,Jul-Sep,2024,Phase 7 JP Nagar,Moderate
1823,Phase 7 JP Nagar,8497.48,Oct-Dec,2024,Phase 7 JP Nagar,Moderate
1824,Phase 7 JP Nagar,9227.25,Jan-Mar,2025,Phase 7 JP Nagar,Moderate
1825,Phase 7 JP Nagar,9496.26,Apr-Jun,2025,Phase 7 JP Nagar,Moderate
1826,Phase 7 JP Nagar,6477.7575,Jul-Sep,2025,Phase 7 JP Nagar,Moderate
1827,Phase 7 JP Nagar,6317.5,Oct-Dec,2025,Phase 7 JP Nagar,Moderate
1828,Phase 7 JP Nagar,6399.06,Jan-Mar,2026,Phase 7 JP Nagar,Moderate
1829,Phase 7 JP Nagar,6334.04,Apr-Jun,2026,Phase 7 JP Nagar,Moderate
1830,Phase 7 JP Nagar,6473.84,Jul-Sep,2026,Phase 7 JP Nagar,Moderate
1831,Phase 7 JP Nagar,6609.76,Oct-Dec,2026,Phase 7 JP Nagar,Moderate
1832,Phase 7 JP Nagar,6446.65,Jan-Mar,2027,Phase 7 JP Nagar,Moderate
1833,Phase 7 JP Nagar,6405.15,Apr-Jun,2027,Phase 7 JP Nagar,Moderate
1834,Phase 7 JP Nagar,6588.93,Jul-Sep,2027,Phase 7 JP Nagar,Moderate
1835,Phase 7 JP Nagar,6710.14,Oct-Dec,2027,Phase 7 JP Nagar,Moderate
1836,Phase 7 JP Nagar,6704.38,Jan-Mar,2028,Phase 7 JP Nagar,Moderate
1837,Phase 7 JP Nagar,6704.98,Apr-Jun,2028,Phase 7 JP Nagar,Moderate
1838,Phase 7 JP Nagar,6366.02,Jul-Sep,2028,Phase 7 JP Nagar,Moderate
1839,Phase 7 JP Nagar,6296.63,Oct-Dec,2028,Phase 7 JP Nagar,Moderate
1840,Phase 7 JP Nagar,6598.62,Jan-Mar,2029,Phase 7 JP Nagar,Moderate
1841,Phase 7 JP Nagar,6783.28,Apr-Jun,2029,Phase 7 JP Nagar,Moderate
1842,Phase 7 JP Nagar,7157.24,Jul-Sep,2029,Phase 7 JP Nagar,Moderate
1843,Phase 7 JP Nagar,7330.52,Oct-Dec,2029,Phase 7 JP Nagar,Moderate
1844,Phase 7 JP Nagar,7713.57,Jan-Mar,2030,Phase 7 JP Nagar,Moderate
1845,Phase 7 JP Nagar,8280.04,Apr-Jun,2030,Phase 7 JP Nagar,Moderate
1846,Phase 7 JP Nagar,7883.76,Jul-Sep,2030,Phase 7 JP Nagar,Moderate
1847,Phase 7 JP Nagar,8497.48,Oct-Dec,2030,Phase 7 JP Nagar,Moderate
1848,Kaggadasapura,5365.21,Jan-Mar,2024,Kaggadasapura,Moderate
1849,Kaggadasapura,5347.26,Apr-Jun,2024,Kaggadasapura,Moderate
1850,Kaggadasapura,5607.356,Jul-Sep,2024,Kaggadasapura,Moderate
1851,Kaggadasapura,5836.48,Oct-Dec,2024,Kaggadasapura,Moderate
1852,Kaggadasapura,6562.299333,Jan-Mar,2025,Kaggadasapura,Moderate
1853,Kaggadasapura,6593.219333,Apr-Jun,2025,Kaggadasapura,Moderate
1854,Kaggadasapura,5241.566,Jul-Sep,2025,Kaggadasapura,Moderate
1855,Kaggadasapura,4861.11,Oct-Dec,2025,Kaggadasapura,Moderate
1856,Kaggadasapura,4553.06,Jan-Mar,2026,Kaggadasapura,Moderate
1857,Kaggadasapura,4597.9,Apr-Jun,2026,Kaggadasapura,Moderate
1858,Kaggadasapura,4633.64,Jul-Sep,2026,Kaggadasapura,Moderate
1859,Kaggadasapura,4564.98,Oct-Dec,2026,Kaggadasapura,Moderate
1860,Kaggadasapura,4658.05,Jan-Mar,2027,Kaggadasapura,Moderate
1861,Kaggadasapura,4686.44,Apr-Jun,2027,Kaggadasapura,Moderate
1862,Kaggadasapura,4697.32,Jul-Sep,2027,Kaggadasapura,Moderate
1863,Kaggadasapura,4695.59,Oct-Dec,2027,Kaggadasapura,Moderate
1864,Kaggadasapura,4554.52,Jan-Mar,2028,Kaggadasapura,Moderate
1865,Kaggadasapura,4710.15,Apr-Jun,2028,Kaggadasapura,Moderate
1866,Kaggadasapura,4832.72,Jul-Sep,2028,Kaggadasapura,Moderate
1867,Kaggadasapura,5217.61,Oct-Dec,2028,Kaggadasapura,Moderate
1868,Kaggadasapura,5015.19,Jan-Mar,2029,Kaggadasapura,Moderate
1869,Kaggadasapura,4987.92,Apr-Jun,2029,Kaggadasapura,Moderate
1870,Kaggadasapura,5472.81,Jul-Sep,2029,Kaggadasapura,Moderate
1871,Kaggadasapura,6882.81,Oct-Dec,2029,Kaggadasapura,Moderate
1872,Kaggadasapura,5365.21,Jan-Mar,2030,Kaggadasapura,Moderate
1873,Kaggadasapura,5347.26,Apr-Jun,2030,Kaggadasapura,Moderate
1874,Kaggadasapura,5607.356,Jul-Sep,2030,Kaggadasapura,Moderate
1875,Kaggadasapura,5836.48,Oct-Dec,2030,Kaggadasapura,Moderate
1876,Uttarahalli Hobli,5837.03,Jan-Mar,2024,Uttarahalli Hobli,Moderate
1877,Uttarahalli Hobli,5784.85,Apr-Jun,2024,Uttarahalli Hobli,Moderate
1878,Uttarahalli Hobli,6343.096,Jul-Sep,2024,Uttarahalli Hobli,Moderate
1879,Uttarahalli Hobli,6983.566,Oct-Dec,2024,Uttarahalli Hobli,Moderate
1880,Uttarahalli Hobli,6985.13,Jan-Mar,2025,Uttarahalli Hobli,Moderate
1881,Uttarahalli Hobli,6952.21,Apr-Jun,2025,Uttarahalli Hobli,Moderate
1882,Uttarahalli Hobli,5812.0185,Jul-Sep,2025,Uttarahalli Hobli,Moderate
1883,Uttarahalli Hobli,4688.461,Oct-Dec,2025,Uttarahalli Hobli,Moderate
1884,Uttarahalli Hobli,4712.55,Jan-Mar,2026,Uttarahalli Hobli,Moderate
1885,Uttarahalli Hobli,4847.82,Apr-Jun,2026,Uttarahalli Hobli,Moderate
1886,Uttarahalli Hobli,4859.35,Jul-Sep,2026,Uttarahalli Hobli,Moderate
1887,Uttarahalli Hobli,4861.29,Oct-Dec,2026,Uttarahalli Hobli,Moderate
1888,Uttarahalli Hobli,5046.43,Jan-Mar,2027,Uttarahalli Hobli,Moderate
1889,Uttarahalli Hobli,5032.19,Apr-Jun,2027,Uttarahalli Hobli,Moderate
1890,Uttarahalli Hobli,5067.72,Jul-Sep,2027,Uttarahalli Hobli,Moderate
1891,Uttarahalli Hobli,5200.85,Oct-Dec,2027,Uttarahalli Hobli,Moderate
1892,Uttarahalli Hobli,5425.56,Jan-Mar,2028,Uttarahalli Hobli,Moderate
1893,Uttarahalli Hobli,5431.73,Apr-Jun,2028,Uttarahalli Hobli,Moderate
1894,Uttarahalli Hobli,5502.12,Jul-Sep,2028,Uttarahalli Hobli,Moderate
1895,Uttarahalli Hobli,5677.96,Oct-Dec,2028,Uttarahalli Hobli,Moderate
1896,Uttarahalli Hobli,5550.46,Jan-Mar,2029,Uttarahalli Hobli,Moderate
1897,Uttarahalli Hobli,5589.35,Apr-Jun,2029,Uttarahalli Hobli,Moderate
1898,Uttarahalli Hobli,5807.97,Jul-Sep,2029,Uttarahalli Hobli,Moderate
1899,Uttarahalli Hobli,6701.37,Oct-Dec,2029,Uttarahalli Hobli,Moderate
1900,Uttarahalli Hobli,5837.03,Jan-Mar,2030,Uttarahalli Hobli,Moderate
1901,Uttarahalli Hobli,5784.85,Apr-Jun,2030,Uttarahalli Hobli,Moderate
1902,Uttarahalli Hobli,6343.096,Jul-Sep,2030,Uttarahalli Hobli,Moderate
1903,Uttarahalli Hobli,6983.566,Oct-Dec,2030,Uttarahalli Hobli,Moderate
1904,Church Street,16859.83,Jan-Mar,2024,Church Street,Moderate
1905,Church Street,17044.67,Apr-Jun,2024,Church Street,Moderate
1906,Church Street,18317.372,Jul-Sep,2024,Church Street,Moderate
1907,Church Street,17330.33,Oct-Dec,2024,Church Street,Moderate
1908,Church Street,18631.89,Jan-Mar,2025,Church Street,Moderate
1909,Church Street,17432.9,Apr-Jun,2025,Church Street,Moderate
1910,Church Street,17009.30924,Jul-Sep,2025,Church Street,Moderate
1911,Church Street,11198.80333,Oct-Dec,2025,Church Street,Moderate
1912,Church Street,15632.92,Jan-Mar,2026,Church Street,Moderate
1913,Church Street,15773.12,Apr-Jun,2026,Church Street,Moderate
1914,Church Street,15967.92,Jul-Sep,2026,Church Street,Moderate
1915,Church Street,16130.49,Oct-Dec,2026,Church Street,Moderate
1916,Church Street,16572.21,Jan-Mar,2027,Church Street,Moderate
1917,Church Street,16643.77,Apr-Jun,2027,Church Street,Moderate
1918,Church Street,16788.08,Jul-Sep,2027,Church Street,Moderate
1919,Church Street,16769.06,Oct-Dec,2027,Church Street,Moderate
1920,Church Street,17258.72,Jan-Mar,2028,Church Street,Moderate
1921,Church Street,17319.2,Apr-Jun,2028,Church Street,Moderate
1922,Church Street,17527.54,Jul-Sep,2028,Church Street,Moderate
1923,Church Street,17829.51,Oct-Dec,2028,Church Street,Moderate
1924,Church Street,17090.28,Jan-Mar,2029,Church Street,Moderate
1925,Church Street,17101.36,Apr-Jun,2029,Church Street,Moderate
1926,Church Street,17993.47,Jul-Sep,2029,Church Street,Moderate
1927,Church Street,18254.23,Oct-Dec,2029,Church Street,Moderate
1928,Church Street,16859.83,Jan-Mar,2030,Church Street,Moderate
1929,Church Street,17044.67,Apr-Jun,2030,Church Street,Moderate
1930,Church Street,18317.372,Jul-Sep,2030,Church Street,Moderate
1931,Church Street,17330.33,Oct-Dec,2030,Church Street,Moderate
1932,Mysore Road,6084.93,Jan-Mar,2024,Mysore Road,High
1933,Mysore Road,6095.22,Apr-Jun,2024,Mysore Road,High
1934,Mysore Road,6361.26,Jul-Sep,2024,Mysore Road,High
1935,Mysore Road,6514.26,Oct-Dec,2024,Mysore Road,High
1936,Mysore Road,6925.54,Jan-Mar,2025,Mysore Road,High
1937,Mysore Road,7231.91,Apr-Jun,2025,Mysore Road,High
1938,Mysore Road,7724.813333,Jul-Sep,2025,Mysore Road,High
1939,Mysore Road,4809.73,Oct-Dec,2025,Mysore Road,High
1940,Mysore Road,4674.83,Jan-Mar,2026,Mysore Road,High
1941,Mysore Road,4752.47,Apr-Jun,2026,Mysore Road,High
1942,Mysore Road,4720.99,Jul-Sep,2026,Mysore Road,High
1943,Mysore Road,4850.3,Oct-Dec,2026,Mysore Road,High
1944,Mysore Road,4721.08,Jan-Mar,2027,Mysore Road,High
1945,Mysore Road,4768.81,Apr-Jun,2027,Mysore Road,High
1946,Mysore Road,4735.39,Jul-Sep,2027,Mysore Road,High
1947,Mysore Road,4729.29,Oct-Dec,2027,Mysore Road,High
1948,Mysore Road,4927.48,Jan-Mar,2028,Mysore Road,High
1949,Mysore Road,4780.78,Apr-Jun,2028,Mysore Road,High
1950,Mysore Road,5063.85,Jul-Sep,2028,Mysore Road,High
1951,Mysore Road,5229.2,Oct-Dec,2028,Mysore Road,High
1952,Mysore Road,5102.58,Jan-Mar,2029,Mysore Road,High
1953,Mysore Road,5324.67,Apr-Jun,2029,Mysore Road,High
1954,Mysore Road,5415.16,Jul-Sep,2029,Mysore Road,High
1955,Mysore Road,5786.39,Oct-Dec,2029,Mysore Road,High
1956,Mysore Road,6084.93,Jan-Mar,2030,Mysore Road,High
1957,Mysore Road,6095.22,Apr-Jun,2030,Mysore Road,High
1958,Mysore Road,6361.26,Jul-Sep,2030,Mysore Road,High
1959,Mysore Road,6514.26,Oct-Dec,2030,Mysore Road,High
1960,Halasuru,12862.08,Jan-Mar,2024,Halasuru,Moderate
1961,Halasuru,13149.28,Apr-Jun,2024,Halasuru,Moderate
1962,Halasuru,13423.39,Jul-Sep,2024,Halasuru,Moderate
1963,Halasuru,12862.26,Oct-Dec,2024,Halasuru,Moderate
1964,Halasuru,13808.27,Jan-Mar,2025,Halasuru,Moderate
1965,Halasuru,13824.35,Apr-Jun,2025,Halasuru,Moderate
1966,Halasuru,14439.75233,Jul-Sep,2025,Halasuru,Moderate
1967,Halasuru,10059.06,Oct-Dec,2025,Halasuru,Moderate
1968,Halasuru,12205.52,Jan-Mar,2026,Halasuru,Moderate
1969,Halasuru,12042.52,Apr-Jun,2026,Halasuru,Moderate
1970,Halasuru,11461.04,Jul-Sep,2026,Halasuru,Moderate
1971,Halasuru,11696.38,Oct-Dec,2026,Halasuru,Moderate
1972,Halasuru,11917.37,Jan-Mar,2027,Halasuru,Moderate
1973,Halasuru,11783.03,Apr-Jun,2027,Halasuru,Moderate
1974,Halasuru,10866.73,Jul-Sep,2027,Halasuru,Moderate
1975,Halasuru,11013.36,Oct-Dec,2027,Halasuru,Moderate
1976,Halasuru,8936.49,Jan-Mar,2028,Halasuru,Moderate
1977,Halasuru,9001.02,Apr-Jun,2028,Halasuru,Moderate
1978,Halasuru,9124.68,Jul-Sep,2028,Halasuru,Moderate
1979,Halasuru,10732.79,Oct-Dec,2028,Halasuru,Moderate
1980,Halasuru,11896.69,Jan-Mar,2029,Halasuru,Moderate
1981,Halasuru,12428.03,Apr-Jun,2029,Halasuru,Moderate
1982,Halasuru,11735.2,Jul-Sep,2029,Halasuru,Moderate
1983,Halasuru,11401.87,Oct-Dec,2029,Halasuru,Moderate
1984,Halasuru,12862.08,Jan-Mar,2030,Halasuru,Moderate
1985,Halasuru,13149.28,Apr-Jun,2030,Halasuru,Moderate
1986,Halasuru,13423.39,Jul-Sep,2030,Halasuru,Moderate
1987,Halasuru,12862.26,Oct-Dec,2030,Halasuru,Moderate
1988,Sanjayanagara,8431.24,Jan-Mar,2024,Sanjayanagara,Low
1989,Sanjayanagara,8409.07,Apr-Jun,2024,Sanjayanagara,Low
1990,Sanjayanagara,8568.78,Jul-Sep,2024,Sanjayanagara,Low
